"","Category","Name","Price","Ratings","Num_of_reviews"
"34","Suitcase","LUGG 20 Inch Jetset Lightweight Travel Carry On Suitcase, ABS, Water Resistant & TSA Lock - Easyjet Overhead (55x35x20.5cm)","£74.99","4.4 out of 5 stars","74"
"35","Suitcase","American Tourister Holiday Heat - Spinner Suitcase, 79.5 cm, 108 Litre, tsa padlock, Black (Black)","£96.80","4.5 out of 5 stars","2,733"
"36","Suitcase","British Traveller Medium Size Suitcase Durable PC Hard Shell Luggage Suitcase Lightweight Check in Hold Luggage with 4 Spinner Wheels TSA Lock YKK Zipper(24"", 64cm Navy)","£99.51","4.4 out of 5 stars","179"
"37","Suitcase","Kono Large Suitcase Lightweight ABS Hard Shell Suitcase Durable 28"" Check in Hold Luggage with 4 Wheels and TSA Lock (76cm 99L, Cream)","£26.99","4.2 out of 5 stars","142"
"38","Suitcase","Kono 19 inch Carry On Luggage Lightweight Hard Shell ABS 4 Wheel Spinner Suitcase 2 Year Warranty Durable (Grey)","£112.45","4.4 out of 5 stars","2,080"
"39","Suitcase","Flight Knight Lightweight 4 Wheel ABS Hard Case Suitcases Cabin & Hold Luggage Options Approved For Over 100 Airlines Including easyJet, British Airways, Ryanair, Virgin Atlantic, Emirates & Many More","£33.32","3.9 out of 5 stars","184"
"40","Suitcase","BTGGG Cabin Suitcase 20"" Carry on Suitcase Lightweight Hard Shell Cabin Luggage Case with Spinner Wheels & Combi Lock, 37x22x54cm Small 20"", Black","£58.32","4.1 out of 5 stars","6"
"41","Suitcase","A2B ABS Hard Shell 26 Inch Suitcase - Travel Luggage with 4 Spinner Wheels | Telescopic Drag Handle | Hard Sided Suitcases Weighing 3.4kg Cap 62L Height 66cm (Champagne, Medium)","£57.02","4.4 out of 5 stars","250"
"42","Suitcase","Kono Hard Shell 24 inch Check in Medium Luggage in TSA Lock 4 Wheeled Spinner Polypropylene Suitcase with YKK Zipper (M (65cm - 66L), Black)","£74.99","4.5 out of 5 stars","983"
"43","Suitcase","LUGG 15 Inch Jetset Lightweight Travel Cabin Bag Carry On Approved Suitcase ABS Shell Protection Water Resistant & Safe Locking System Easyjet Free Under seat Luggage (45x36x20cm)","£41.66","4.4 out of 5 stars","609"
"44","Suitcase","Surfanic Maxim 2.0 Wheeled Roller Bag, 100 litres","£37.49","4.5 out of 5 stars","23"
"45","Suitcase","Kono 24 Inch Lightweight Medium Hard Shell Suitcase 66L Travel Carry On Luggage with TSA Lock and 4 Spinner Wheels(Cream)","£24.99","4.6 out of 5 stars","16"
"46","Suitcase","LUGG Travel Suitcase Set - Skywander 3-Piece Hard Shell Luggage, 20"" 24"" 28"" Strong & Lightweight with Secure TSA Lock, Smooth 360° Wheels & Resilient Handle - Airline Approved","£26.99","4.4 out of 5 stars","896"
"47","Suitcase","SHOWKOO Suitcase Large 28-Inch Expandable PC+ABS Hard Shell Travel Luggage Lightweight Durable High Capacity with Double Spinner Wheels TSA Lock, 28"" Army Green","£83.32","4.5 out of 5 stars","19,363"
"48","Suitcase","American Tourister Suitcase, Dark Navy (Blue) - 88752/1265, 78 cm, 120 L","£118.57","4.5 out of 5 stars","1,912"
