"","Category","Name","Price","Ratings","Num_of_reviews"
"37","Handbags","VOLGANIK ROCK Handbags for Women Shoulder bag for women Soft PU Leather Handbag Crossbody bag Multi Pockets Handbag shoulder bag Ladies handbags Travel Bag","£29.99","4.4 out of 5 stars","772"
"38","Handbags","Miss Lulu Handbag for Women, Woven and Chevron Pattern, M Logo on the Front, Top Handle or Shoulder Bag, Golden Hardware","£24.99","4.5 out of 5 stars","4,993"
"39","Handbags","Jocose Moose Women Handbag Laptop Tote Bag Large PU Leather Shoulder Bag Designer Lightweight Computer Tote Bag, Gift with a Ladies Purse","£12.74","4.4 out of 5 stars","3,176"
"40","Handbags","Miss Lulu Leather Tote Handbags for Women Ladies Top Handle Bag Laptop Shoulder Bag Set Large Capacity Black","£16.66","4.3 out of 5 stars","3,123"
"41","Handbags","ACNCN Ladies Handbags, Women Fashion PU Leather Top Handle Satchel Shoulder Tote Bags","£10.49","4.0 out of 5 stars","81"
"42","Handbags","Kono Messenger Shoulder Bag for Women, Multi Pockets Ladies Handbag Waterproof Casual Crossbody Bag for Shopping Travel Daily","£12.91","4.3 out of 5 stars","485"
"43","Handbags","MISS LULU Shoulder Bag for Women Fashion Handbag, Three Compartment, Can Hold 9.7' Tablet","£17.91","4.5 out of 5 stars","42"
"44","Handbags","LIRENSHIGE Handbags for Women, Tote Bag Soft PU Leather Large Capacity Ladies Handbag Womens Top Handle Shoulder Bag For women Black Handbag","£19.94","4.2 out of 5 stars","409"
"45","Handbags","Miss Lulu Women Fashion Handbag Shoulder Bag Purse Faux Leather Tote 3 Piece","£15.82","4.4 out of 5 stars","5,428"
"46","Handbags","MORGLOVE Women's Tote Bag Large Handbag Soft Leather Simple Shoulder Bag with Zipper for School Work Leisure (A-Black)","£10.82","4.1 out of 5 stars","1,756"
"47","Handbags","haipky Women Handbag Top Handle Elegant Embroidery Shoulder Bags Classic Shopper Ladies Crossbody Handbags","£18.32","4.6 out of 5 stars","70"
"48","Handbags","Miss Lulu Women Tote Bag, Soft PU Leather Shoulder Bag, Fashion Large Handbag for Working Ladies, Simple Elegant Gift for Office Travel School Library Shopping","£16.66","4.3 out of 5 stars","48"
"49","Handbags","Mabel London Womens Multiple Pockets Handbag - Medium Size Multi Compartments Bag","£24.99","4.4 out of 5 stars","4,024"
"50","Handbags","Pomelo Best Handbags for Ladies with Multiple Interior Pockets and Pretty Colour Combination (Brown/Grey)","£21.66","4.7 out of 5 stars","6,635"
"51","Handbags","Miss Lulu Handbag for Women, Woven and Chevron Pattern, M Logo on the Front, Top Handle or Shoulder Bag, Golden Hardware","£24.16","4.5 out of 5 stars","4,993"
"52","Handbags","Miss Lulu Women Fashion Handbag Shoulder Bag Purse Faux Leather Tote 3 Piece","£24.99","4.4 out of 5 stars","5,428"
"53","Handbags","Mabel London Womens Multiple Pockets Handbag - Medium Size Multi Compartments Bag","£13.32","4.4 out of 5 stars","4,024"
"54","Handbags","KALIDI Thicken Corduroy Totes Bag Extra Large Capacity Handbags Shoulder Bags with Zipper Cord Tote Bag for Women Ladies Girls Casual Shopping Bag for Work School College Daily Use","£31.99","4.5 out of 5 stars","2,681"
"55","Handbags","NICOLE & DORIS 2024 New Handbags for women Fashion Ladies Handbags & Shoulder Bags Designer Top Handle Bag with Pompom Grey","£10.82","4.3 out of 5 stars","5,000"
"56","Handbags","WuXingMeiLi Water Soft PU leather Purses and Shoulder Handbags for Women Crossbody Bag Cross Body Messenger Bags","£19.16","4.4 out of 5 stars","270"
"57","Handbags","Aileese Womens Handbags Soft Leather Large Capacity Retro Vintage Top-Handle Casual Pocket Tote Shoulder Cross-Body Bags Brown","£14.99","4.1 out of 5 stars","1,187"
"58","Handbags","wocharm PU Leather Ladies Shoulder Bag, Top Handle Bag, Womens Handbags Fashion Tote Bag for Casual & Work","£33.32","4.3 out of 5 stars","141"
"59","Handbags","Pomelo Best Handbags for Ladies with Multiple Interior Pockets and Pretty Colour Combination","£19.07","4.7 out of 5 stars","6,635"
"60","Handbags","VINBAGGE Ladies Leather Handbag Designer Top-Handle Bag Vintage Tote Crossbody Shoulder Bag Fashion Clutch for Women - Black","£21.57","4.3 out of 5 stars","3,402"
"61","Handbags","Women Handbags Hobo Bag Tote Bags Shoulder Bag Soft Washed Leather Multifunctional Messenger Bag","£16.65","4.5 out of 5 stars","372"
"62","Handbags","ACNCN Women Handbags Shoulder Bag Crossbody Messenger Bag Tote Satchel for Lady PU Leather Purse","£17.49","3.9 out of 5 stars","285"
"63","Handbags","MORGLOVE Fashion Women PU Leather Handbag Top Handle bag Messenger Bag Shoulder Bag Tote Bag Card Purse in Gold （4 Pcs Set）","£20.23","4.4 out of 5 stars","2,586"
"64","Handbags","Milky Way Womens Nylon Crossbody Bag Waterproof Multi-Pocket Shoulder Tote Lightweight Travel Messenger Bag","£24.98","4.4 out of 5 stars","1,717"
"65","Handbags","FiveloveTwo Women Ladies 6 Pcs Handbag Set Hobo Top Handle Bag Totes Satchels Crossbody Shoulder Bags and Purse Clutch","£12.49","3.6 out of 5 stars","3,354"
"66","Handbags","FULEI Women Handbags Shoulder Bags Small Square Soft PU Leather Cross Body Ladies Bags Elegant Butterfly Decoration","£23.32","4.3 out of 5 stars","1,391"
"67","Handbags","LIN KANG Ladies Shoulder Bags Soft PU Leather Crossbody bag for Women Multi Pockets Lightweight Waterproof Crossbody Handbags for Travel Daily Use","£10.82","4.0 out of 5 stars","324"
